"First Name","Last Name",Country,Email,Phone,LoyaltyPoints
Aisha,Khan,Spain,NULL,NULL,NULL
Ahmed,Dubois,Canada,NULL,NULL,NULL
Hiroshi,Kim,Italy,NULL,NULL,NULL
Sophia,Dubois,Nigeria,NULL,NULL,NULL
Carlos,Sato,Spain,NULL,NULL,NULL
Sophia,Brown,Sweden,NULL,NULL,NULL
Santiago,MYller,"United States",NULL,NULL,NULL
Ahmed,Patel,"United States",NULL,NULL,NULL
Sara,Schneider,India,NULL,NULL,NULL
David,Dubois,Russia,NULL,NULL,NULL
Hiroshi,Silva,Canada,NULL,NULL,NULL
Ahmed,Garcia,Australia,NULL,NULL,NULL
Sara,Nguyen,Japan,NULL,NULL,NULL
Maria,MYller,Canada,NULL,NULL,NULL
Ahmed,Olsen,Sweden,NULL,NULL,NULL
Ahmed,Yamamoto,"United Kingdom",NULL,NULL,NULL
John,Patel,Brazil,NULL,NULL,NULL
Carlos,Schneider,Pakistan,NULL,NULL,NULL
Chen,Johansson,India,NULL,NULL,NULL
Maria,Ivanov,Vietnam,NULL,NULL,NULL
Carlos,Lee,Nigeria,NULL,NULL,NULL
David,Rossi,Egypt,NULL,NULL,NULL
John,Silva,Germany,NULL,NULL,NULL
Muhammad,Garcia,"South Korea",NULL,NULL,NULL
Olivia,Lee,Spain,NULL,NULL,NULL
Lucas,Lee,Japan,NULL,NULL,NULL
Sophia,Sato,"United States",NULL,NULL,NULL
Lucas,MYller,Egypt,NULL,NULL,NULL
Lucas,Nguyen,"South Korea",NULL,NULL,NULL
Olivia,Schneider,Australia,NULL,NULL,NULL
John,Yamamoto,"South Korea",NULL,NULL,NULL
Maria,Garcia,Brazil,NULL,NULL,NULL
Fatima,Martinez,Sweden,NULL,NULL,NULL
Chen,Johansson,France,NULL,NULL,NULL
Zhang,Kim,"United States",NULL,NULL,NULL
Liam,Brown,Mexico,NULL,NULL,NULL
Lucas,Nguyen,Vietnam,NULL,NULL,NULL
Ingrid,Lee,Germany,NULL,NULL,NULL
Olivia,Johansson,"South Korea",NULL,NULL,NULL
Isabella,Brown,Brazil,NULL,NULL,NULL
Fatima,Smith,China,NULL,NULL,NULL
Elena,Hassan,Spain,NULL,NULL,NULL
Zhang,Schneider,Japan,NULL,NULL,NULL
Liam,Yamamoto,Spain,NULL,NULL,NULL
John,Lee,Canada,NULL,NULL,NULL
Aisha,Lee,Sweden,NULL,NULL,NULL
David,Nguyen,Vietnam,NULL,NULL,NULL
Hiroshi,Lee,Russia,NULL,NULL,NULL
Ahmed,Rossi,"South Korea",NULL,NULL,NULL
Sophia,MYller,China,NULL,NULL,NULL
Carlos,Dubois,Canada,NULL,NULL,NULL
Fatima,Martinez,Pakistan,NULL,NULL,NULL
David,Garcia,Germany,NULL,NULL,NULL
John,Lee,Australia,NULL,NULL,NULL
Liam,Yamamoto,India,NULL,NULL,NULL
Carlos,Dubois,"United States",NULL,NULL,NULL
Muhammad,Patel,Canada,NULL,NULL,NULL
Hiroshi,Nguyen,Australia,NULL,NULL,NULL
Liam,Kim,India,NULL,NULL,NULL
John,Nguyen,Germany,NULL,NULL,NULL
David,Sato,"United States",NULL,NULL,NULL
Elena,Dubois,Italy,NULL,NULL,NULL
Liam,Silva,Spain,NULL,NULL,NULL
Muhammad,Khan,"United Kingdom",NULL,NULL,NULL
Olivia,Nguyen,Brazil,NULL,NULL,NULL
Maria,Garcia,Sweden,NULL,NULL,NULL
Fatima,MYller,Germany,NULL,NULL,NULL
Sara,Rossi,Vietnam,NULL,NULL,NULL
Carlos,Dubois,China,NULL,NULL,NULL
Elena,Yamamoto,India,NULL,NULL,NULL
Aisha,Lee,Canada,NULL,NULL,NULL
Ingrid,Brown,Vietnam,NULL,NULL,NULL
Ingrid,Johansson,France,NULL,NULL,NULL
Muhammad,Sato,Vietnam,NULL,NULL,NULL
Ingrid,Rossi,Sweden,NULL,NULL,NULL
Chen,Dubois,Russia,NULL,NULL,NULL
Santiago,Sato,Russia,NULL,NULL,NULL
Lucas,Nguyen,Pakistan,NULL,NULL,NULL
Santiago,Schneider,"United States",NULL,NULL,NULL
Aisha,Patel,Vietnam,NULL,NULL,NULL
Sara,Garcia,China,NULL,NULL,NULL
Maria,Nguyen,Russia,NULL,NULL,NULL
Muhammad,Smith,Sweden,NULL,NULL,NULL
David,Schneider,Russia,NULL,NULL,NULL
Fatima,Smith,"United Kingdom",NULL,NULL,NULL
Chen,Olsen,France,NULL,NULL,NULL
Elena,Khan,Russia,NULL,NULL,NULL
Zhang,MYller,"South Korea",NULL,NULL,NULL
Elena,Silva,Mexico,NULL,NULL,NULL
Santiago,Dubois,China,NULL,NULL,NULL
Muhammad,Kim,Italy,NULL,NULL,NULL
Isabella,Khan,Brazil,NULL,NULL,NULL
Carlos,Silva,Vietnam,NULL,NULL,NULL
Chen,Yamamoto,India,NULL,NULL,NULL
Ahmed,Lee,India,NULL,NULL,NULL
Ahmed,Martinez,Vietnam,NULL,NULL,NULL
Olivia,Yamamoto,Russia,NULL,NULL,NULL
Ingrid,Rossi,Spain,NULL,NULL,NULL
Santiago,Johansson,"South Korea",NULL,NULL,NULL
Liam,Khan,Russia,NULL,NULL,NULL
Sara,Smith,Sweden,NULL,NULL,NULL
Isabella,Olsen,Germany,NULL,NULL,NULL
Sara,Dubois,Sweden,NULL,NULL,NULL
Muhammad,Sato,France,NULL,NULL,NULL
Hiroshi,Olsen,Sweden,NULL,NULL,NULL
Ingrid,Olsen,"South Korea",NULL,NULL,NULL
Olivia,Silva,Sweden,NULL,NULL,NULL
Liam,Johansson,"South Korea",NULL,NULL,NULL
Chen,Lee,"United Kingdom",NULL,NULL,NULL
Ahmed,Martinez,Brazil,NULL,NULL,NULL
Elena,Martinez,"United States",NULL,NULL,NULL
Hiroshi,Garcia,India,NULL,NULL,NULL
Hiroshi,Hassan,France,NULL,NULL,NULL
Hiroshi,Schneider,India,NULL,NULL,NULL
Maria,Olsen,Canada,NULL,NULL,NULL
Elena,Lee,Egypt,NULL,NULL,NULL
Olivia,Olsen,Spain,NULL,NULL,NULL
Hiroshi,Garcia,"United States",NULL,NULL,NULL
Aisha,MYller,Spain,NULL,NULL,NULL
Muhammad,Brown,Germany,NULL,NULL,NULL
Maria,Brown,China,NULL,NULL,NULL
Liam,Garcia,"South Korea",NULL,NULL,NULL
Zhang,Lee,China,NULL,NULL,NULL
Ingrid,Sato,France,NULL,NULL,NULL
Elena,Kim,Mexico,NULL,NULL,NULL
Aisha,Patel,"United Kingdom",NULL,NULL,NULL
Lucas,Schneider,"South Korea",NULL,NULL,NULL
John,Khan,France,NULL,NULL,NULL
Santiago,Kim,Canada,NULL,NULL,NULL
Hiroshi,Schneider,"United States",NULL,NULL,NULL
Liam,Khan,Mexico,NULL,NULL,NULL
Carlos,Martinez,Australia,NULL,NULL,NULL
Aisha,Hassan,China,NULL,NULL,NULL
Lucas,Garcia,Spain,NULL,NULL,NULL
Santiago,Olsen,Germany,NULL,NULL,NULL
Ahmed,Johansson,Australia,NULL,NULL,NULL
John,Sato,France,NULL,NULL,NULL
Fatima,Silva,Spain,NULL,NULL,NULL
Hiroshi,Patel,France,NULL,NULL,NULL
Carlos,Dubois,"South Korea",NULL,NULL,NULL
Fatima,Garcia,"South Korea",NULL,NULL,NULL
Chen,Kim,Nigeria,NULL,NULL,NULL
Ahmed,Johansson,Nigeria,NULL,NULL,NULL
John,Dubois,Germany,NULL,NULL,NULL
David,Schneider,"United Kingdom",NULL,NULL,NULL
Liam,Ivanov,Pakistan,NULL,NULL,NULL
Santiago,Lee,Japan,NULL,NULL,NULL
John,Sato,Vietnam,NULL,NULL,NULL
Maria,Nguyen,France,NULL,NULL,NULL
Lucas,Silva,France,NULL,NULL,NULL
Isabella,MYller,Nigeria,NULL,NULL,NULL
Sara,Schneider,"South Korea",NULL,NULL,NULL
Ahmed,Kim,Japan,NULL,NULL,NULL
Hiroshi,Khan,Brazil,NULL,NULL,NULL
Ingrid,Olsen,Germany,NULL,NULL,NULL
Zhang,Hassan,Italy,NULL,NULL,NULL
Fatima,Schneider,Russia,NULL,NULL,NULL
Zhang,Kim,"United Kingdom",NULL,NULL,NULL
Muhammad,Sato,"United Kingdom",NULL,NULL,NULL
Lucas,Khan,Sweden,NULL,NULL,NULL
Hiroshi,Khan,France,NULL,NULL,NULL
Sophia,Schneider,"United Kingdom",NULL,NULL,NULL
Zhang,Schneider,Japan,NULL,NULL,NULL
Lucas,Johansson,Canada,NULL,NULL,NULL
Maria,Garcia,Sweden,NULL,NULL,NULL
Santiago,Khan,Italy,NULL,NULL,NULL
Fatima,Dubois,Italy,NULL,NULL,NULL
Fatima,Hassan,Egypt,NULL,NULL,NULL
Zhang,Schneider,Germany,NULL,NULL,NULL
Santiago,Kim,Brazil,NULL,NULL,NULL
Sophia,Patel,India,NULL,NULL,NULL
Ingrid,MYller,Mexico,NULL,NULL,NULL
Muhammad,Patel,Italy,NULL,NULL,NULL
Lucas,Garcia,Egypt,NULL,NULL,NULL
Lucas,Lee,Italy,NULL,NULL,NULL
Maria,Garcia,Russia,NULL,NULL,NULL
Fatima,Patel,Brazil,NULL,NULL,NULL
Olivia,MYller,Russia,NULL,NULL,NULL
Ingrid,Nguyen,Pakistan,NULL,NULL,NULL
Maria,Smith,Spain,NULL,NULL,NULL
Olivia,Silva,France,NULL,NULL,NULL
Ingrid,Dubois,"South Korea",NULL,NULL,NULL
Olivia,Lee,Pakistan,NULL,NULL,NULL
John,Hassan,Nigeria,NULL,NULL,NULL
Lucas,Smith,"United States",NULL,NULL,NULL
Liam,Yamamoto,"United Kingdom",NULL,NULL,NULL
Aisha,Martinez,China,NULL,NULL,NULL
David,Lee,Australia,NULL,NULL,NULL
Ahmed,Olsen,"United Kingdom",NULL,NULL,NULL
Isabella,Smith,Germany,NULL,NULL,NULL
Ingrid,Yamamoto,Brazil,NULL,NULL,NULL
Ahmed,Schneider,Sweden,NULL,NULL,NULL
Olivia,Johansson,France,NULL,NULL,NULL
Liam,Sato,Italy,NULL,NULL,NULL
Liam,Patel,"United States",NULL,NULL,NULL
Sara,Johansson,Germany,NULL,NULL,NULL
Maria,Garcia,Canada,NULL,NULL,NULL
Olivia,Silva,"United Kingdom",NULL,NULL,NULL
Elena,Sato,India,NULL,NULL,NULL
Hiroshi,MYller,China,NULL,NULL,NULL
Carlos,Silva,Egypt,NULL,NULL,NULL
John,Kim,Japan,NULL,NULL,NULL
Olivia,Schneider,Australia,NULL,NULL,NULL
Ingrid,Ivanov,"United Kingdom",NULL,NULL,NULL
John,Olsen,Sweden,NULL,NULL,NULL
Santiago,Johansson,Italy,NULL,NULL,NULL
Sophia,Sato,Canada,NULL,NULL,NULL
Zhang,Garcia,Egypt,NULL,NULL,NULL
Santiago,Olsen,"South Korea",NULL,NULL,NULL
Lucas,Rossi,France,NULL,NULL,NULL
Sara,Smith,"South Korea",NULL,NULL,NULL
Ahmed,Rossi,Vietnam,NULL,NULL,NULL
Lucas,Johansson,"United Kingdom",NULL,NULL,NULL
John,Nguyen,Mexico,NULL,NULL,NULL
Isabella,Khan,Mexico,NULL,NULL,NULL
Ahmed,Ivanov,"United States",NULL,NULL,NULL
Ingrid,Silva,Russia,NULL,NULL,NULL
David,Brown,"United States",NULL,NULL,NULL
Lucas,Hassan,Canada,NULL,NULL,NULL
Isabella,Khan,India,NULL,NULL,NULL
Hiroshi,Yamamoto,"United States",NULL,NULL,NULL
Isabella,MYller,Vietnam,NULL,NULL,NULL
Ingrid,Rossi,Australia,NULL,NULL,NULL
Olivia,Sato,Pakistan,NULL,NULL,NULL
Liam,Johansson,Egypt,NULL,NULL,NULL
Sophia,Johansson,"United Kingdom",NULL,NULL,NULL
Hiroshi,Johansson,Nigeria,NULL,NULL,NULL
Lucas,Kim,Sweden,NULL,NULL,NULL
David,Brown,"South Korea",NULL,NULL,NULL
John,Martinez,Germany,NULL,NULL,NULL
John,MYller,Italy,NULL,NULL,NULL
David,Dubois,Japan,NULL,NULL,NULL
Ingrid,Hassan,Russia,NULL,NULL,NULL
Aisha,Olsen,Sweden,NULL,NULL,NULL
Muhammad,Schneider,Pakistan,NULL,NULL,NULL
Santiago,Dubois,Italy,NULL,NULL,NULL
Sara,Patel,Spain,NULL,NULL,NULL
Santiago,Rossi,Russia,NULL,NULL,NULL
John,Rossi,Brazil,NULL,NULL,NULL
Sara,Olsen,"South Korea",NULL,NULL,NULL
Elena,Yamamoto,Germany,NULL,NULL,NULL
Maria,Yamamoto,Spain,NULL,NULL,NULL
Hiroshi,Dubois,Nigeria,NULL,NULL,NULL
Fatima,Martinez,France,NULL,NULL,NULL
Sophia,Smith,Russia,NULL,NULL,NULL
Ingrid,Dubois,Russia,NULL,NULL,NULL
Ahmed,Ivanov,India,NULL,NULL,NULL
Isabella,Hassan,Germany,NULL,NULL,NULL
Ingrid,Yamamoto,Mexico,NULL,NULL,NULL
Muhammad,Sato,Russia,NULL,NULL,NULL
Elena,Kim,Italy,NULL,NULL,NULL
Liam,MYller,Italy,NULL,NULL,NULL
Santiago,Schneider,Egypt,NULL,NULL,NULL
Lucas,Hassan,Spain,NULL,NULL,NULL
Elena,Garcia,"South Korea",NULL,NULL,NULL
Sophia,Rossi,France,NULL,NULL,NULL
Ahmed,Silva,China,NULL,NULL,NULL
Carlos,Nguyen,"United Kingdom",NULL,NULL,NULL
Hiroshi,Johansson,Japan,NULL,NULL,NULL
Ahmed,Schneider,Sweden,NULL,NULL,NULL
Muhammad,Brown,Italy,NULL,NULL,NULL
Sophia,Martinez,Brazil,NULL,NULL,NULL
Hiroshi,MYller,Australia,NULL,NULL,NULL
Ahmed,MYller,France,NULL,NULL,NULL
John,Martinez,Italy,NULL,NULL,NULL
Aisha,Schneider,"United Kingdom",NULL,NULL,NULL
Fatima,Dubois,Vietnam,NULL,NULL,NULL
Zhang,Kim,Australia,NULL,NULL,NULL
Isabella,Rossi,China,NULL,NULL,NULL
Santiago,Martinez,China,NULL,NULL,NULL
David,Smith,Italy,NULL,NULL,NULL
Olivia,Hassan,Brazil,NULL,NULL,NULL
Sophia,Silva,Mexico,NULL,NULL,NULL
Fatima,Yamamoto,Australia,NULL,NULL,NULL
Lucas,Smith,Japan,NULL,NULL,NULL
Fatima,Lee,India,NULL,NULL,NULL
Sophia,Dubois,India,NULL,NULL,NULL
Santiago,Lee,Brazil,NULL,NULL,NULL
Olivia,Smith,"United Kingdom",NULL,NULL,NULL
Carlos,Martinez,Brazil,NULL,NULL,NULL
Ahmed,Dubois,France,NULL,NULL,NULL
Zhang,Hassan,China,NULL,NULL,NULL
Hiroshi,Brown,Mexico,NULL,NULL,NULL
Muhammad,Nguyen,France,NULL,NULL,NULL
Hiroshi,Hassan,Egypt,NULL,NULL,NULL
Maria,Ivanov,Nigeria,NULL,NULL,NULL
Olivia,Lee,Brazil,NULL,NULL,NULL
Olivia,Schneider,France,NULL,NULL,NULL
Carlos,Sato,China,NULL,NULL,NULL
Sara,Olsen,Russia,NULL,NULL,NULL
Ingrid,MYller,"United States",NULL,NULL,NULL
John,Dubois,India,NULL,NULL,NULL
Sara,Khan,Pakistan,NULL,NULL,NULL
Isabella,Schneider,Brazil,NULL,NULL,NULL
Carlos,Hassan,Pakistan,NULL,NULL,NULL
Santiago,Yamamoto,"United Kingdom",NULL,NULL,NULL
Muhammad,Nguyen,"United States",NULL,NULL,NULL
Carlos,Sato,Pakistan,NULL,NULL,NULL
Sara,Nguyen,France,NULL,NULL,NULL
David,Brown,Mexico,NULL,NULL,NULL
Chen,Rossi,Italy,NULL,NULL,NULL
Sophia,Nguyen,Italy,NULL,NULL,NULL
Muhammad,MYller,Vietnam,NULL,NULL,NULL
John,Brown,China,NULL,NULL,NULL
Ingrid,Garcia,Canada,NULL,NULL,NULL
Maria,MYller,Brazil,NULL,NULL,NULL
Elena,Johansson,"South Korea",NULL,NULL,NULL
Lucas,Martinez,Sweden,NULL,NULL,NULL
Sara,Garcia,Russia,NULL,NULL,NULL
David,Patel,India,NULL,NULL,NULL
Ingrid,Sato,Germany,NULL,NULL,NULL
Aisha,Dubois,Mexico,NULL,NULL,NULL
Lucas,Ivanov,"United Kingdom",NULL,NULL,NULL
Ahmed,Patel,Vietnam,NULL,NULL,NULL
Lucas,Schneider,France,NULL,NULL,NULL
Aisha,Patel,Spain,NULL,NULL,NULL
Ingrid,Ivanov,Canada,NULL,NULL,NULL
Isabella,Hassan,India,NULL,NULL,NULL
Ahmed,Lee,Vietnam,NULL,NULL,NULL
Isabella,Johansson,Russia,NULL,NULL,NULL
Elena,Sato,Sweden,NULL,NULL,NULL
David,Khan,India,NULL,NULL,NULL
Zhang,Olsen,Germany,NULL,NULL,NULL
Hiroshi,Schneider,"South Korea",NULL,NULL,NULL
Aisha,MYller,India,NULL,NULL,NULL
Aisha,Johansson,Nigeria,NULL,NULL,NULL
Hiroshi,Silva,France,NULL,NULL,NULL
Zhang,Silva,Mexico,NULL,NULL,NULL
Olivia,Ivanov,Vietnam,NULL,NULL,NULL
John,Dubois,Mexico,NULL,NULL,NULL
Liam,Martinez,Vietnam,NULL,NULL,NULL
Olivia,Brown,Egypt,NULL,NULL,NULL
Muhammad,Martinez,Nigeria,NULL,NULL,NULL
Lucas,Khan,Germany,NULL,NULL,NULL
Olivia,Khan,India,NULL,NULL,NULL
Ahmed,Johansson,Australia,NULL,NULL,NULL
Aisha,Martinez,China,NULL,NULL,NULL
Fatima,Olsen,Spain,NULL,NULL,NULL
Zhang,Garcia,Russia,NULL,NULL,NULL
Liam,Garcia,Brazil,NULL,NULL,NULL
Olivia,Ivanov,Mexico,NULL,NULL,NULL
Elena,Sato,"United Kingdom",NULL,NULL,NULL
Hiroshi,Olsen,Brazil,NULL,NULL,NULL
Santiago,Sato,Brazil,NULL,NULL,NULL
David,Smith,"United States",NULL,NULL,NULL
Zhang,Garcia,Australia,NULL,NULL,NULL
John,Khan,Japan,NULL,NULL,NULL
Sara,Lee,"South Korea",NULL,NULL,NULL
Ahmed,Garcia,"South Korea",NULL,NULL,NULL
Hiroshi,Johansson,Vietnam,NULL,NULL,NULL
Lucas,Olsen,"United Kingdom",NULL,NULL,NULL
Liam,Hassan,Spain,NULL,NULL,NULL
Sara,MYller,China,NULL,NULL,NULL
Liam,Garcia,Russia,NULL,NULL,NULL
Elena,Khan,Italy,NULL,NULL,NULL
Liam,Rossi,India,NULL,NULL,NULL
Carlos,Ivanov,Germany,NULL,NULL,NULL
Chen,Rossi,Russia,NULL,NULL,NULL
Olivia,Garcia,Germany,NULL,NULL,NULL
Zhang,Dubois,Pakistan,NULL,NULL,NULL
Isabella,Lee,"South Korea",NULL,NULL,NULL
Ahmed,Sato,Canada,NULL,NULL,NULL
Chen,Nguyen,Pakistan,NULL,NULL,NULL
David,Brown,Pakistan,NULL,NULL,NULL
Zhang,Nguyen,"United Kingdom",NULL,NULL,NULL
Sara,Nguyen,France,NULL,NULL,NULL
Olivia,Khan,Australia,NULL,NULL,NULL
Zhang,Sato,France,NULL,NULL,NULL
Elena,Garcia,Mexico,NULL,NULL,NULL
Olivia,Brown,India,NULL,NULL,NULL
David,Dubois,Spain,NULL,NULL,NULL
John,Kim,Brazil,NULL,NULL,NULL
Hiroshi,Kim,Canada,NULL,NULL,NULL
Zhang,Schneider,Nigeria,NULL,NULL,NULL
Carlos,Brown,France,NULL,NULL,NULL
Liam,Rossi,"United Kingdom",NULL,NULL,NULL
Zhang,Martinez,Sweden,NULL,NULL,NULL
Sara,Nguyen,Sweden,NULL,NULL,NULL
Zhang,Kim,Russia,NULL,NULL,NULL
Aisha,Martinez,"South Korea",NULL,NULL,NULL
Liam,Khan,"United States",NULL,NULL,NULL
Santiago,Rossi,Sweden,NULL,NULL,NULL
Carlos,Silva,Sweden,NULL,NULL,NULL
Chen,Brown,China,NULL,NULL,NULL
Hiroshi,Martinez,Spain,NULL,NULL,NULL
Maria,Garcia,Italy,NULL,NULL,NULL
Sophia,Brown,"United Kingdom",NULL,NULL,NULL
Olivia,Martinez,Japan,NULL,NULL,NULL
Ingrid,Smith,Canada,NULL,NULL,NULL
Olivia,Ivanov,Australia,NULL,NULL,NULL
Sara,MYller,Spain,NULL,NULL,NULL
Santiago,Rossi,Russia,NULL,NULL,NULL
Sara,Patel,Spain,NULL,NULL,NULL
Chen,Garcia,Japan,NULL,NULL,NULL
Hiroshi,Sato,China,NULL,NULL,NULL
Sara,Rossi,China,NULL,NULL,NULL
Aisha,Lee,Egypt,NULL,NULL,NULL
Ahmed,Martinez,Russia,NULL,NULL,NULL
Sara,Lee,Brazil,NULL,NULL,NULL
John,Hassan,"United Kingdom",NULL,NULL,NULL
Sophia,Rossi,Japan,NULL,NULL,NULL
Sophia,Sato,Italy,NULL,NULL,NULL
Olivia,Yamamoto,Germany,NULL,NULL,NULL
Zhang,MYller,Mexico,NULL,NULL,NULL
John,Smith,Spain,NULL,NULL,NULL
Olivia,MYller,Pakistan,NULL,NULL,NULL
Maria,Hassan,"United Kingdom",NULL,NULL,NULL
Hiroshi,Ivanov,Italy,NULL,NULL,NULL
Liam,Smith,Australia,NULL,NULL,NULL
Ahmed,Dubois,Pakistan,NULL,NULL,NULL
Ahmed,Patel,Pakistan,NULL,NULL,NULL
Muhammad,Ivanov,Canada,NULL,NULL,NULL
Liam,Ivanov,Brazil,NULL,NULL,NULL
Santiago,MYller,Pakistan,NULL,NULL,NULL
Ahmed,Smith,Brazil,NULL,NULL,NULL
Aisha,Johansson,Japan,NULL,NULL,NULL
Sophia,Dubois,Japan,NULL,NULL,NULL
Muhammad,MYller,China,NULL,NULL,NULL
Aisha,Martinez,Germany,NULL,NULL,NULL
Olivia,Hassan,"United States",NULL,NULL,NULL
Aisha,Silva,"South Korea",NULL,NULL,NULL
Ingrid,Kim,Brazil,NULL,NULL,NULL
Santiago,Olsen,Canada,NULL,NULL,NULL
Olivia,Brown,China,NULL,NULL,NULL
Zhang,Garcia,"South Korea",NULL,NULL,NULL
Olivia,Martinez,Egypt,NULL,NULL,NULL
Chen,Yamamoto,Mexico,NULL,NULL,NULL
Zhang,Brown,Russia,NULL,NULL,NULL
Muhammad,Hassan,"South Korea",NULL,NULL,NULL
Muhammad,Schneider,Australia,NULL,NULL,NULL
Sara,Johansson,Germany,NULL,NULL,NULL
Aisha,Yamamoto,Australia,NULL,NULL,NULL
Zhang,Martinez,"South Korea",NULL,NULL,NULL
Sara,Ivanov,Australia,NULL,NULL,NULL
Fatima,Rossi,Japan,NULL,NULL,NULL
Sophia,Schneider,France,NULL,NULL,NULL
Olivia,Hassan,Russia,NULL,NULL,NULL
Zhang,Rossi,Nigeria,NULL,NULL,NULL
Lucas,Silva,Japan,NULL,NULL,NULL
Sara,Hassan,"South Korea",NULL,NULL,NULL
Santiago,Khan,Pakistan,NULL,NULL,NULL
Ahmed,Yamamoto,Vietnam,NULL,NULL,NULL
Ingrid,Martinez,Brazil,NULL,NULL,NULL
Fatima,Kim,"South Korea",NULL,NULL,NULL
Muhammad,Martinez,Nigeria,NULL,NULL,NULL
John,Sato,France,NULL,NULL,NULL
Carlos,Ivanov,China,NULL,NULL,NULL
Ahmed,Martinez,India,NULL,NULL,NULL
Olivia,MYller,"United Kingdom",NULL,NULL,NULL
Santiago,Hassan,Nigeria,NULL,NULL,NULL
David,Sato,Australia,NULL,NULL,NULL
John,Hassan,Australia,NULL,NULL,NULL
Sophia,Schneider,Egypt,NULL,NULL,NULL
Maria,Olsen,India,NULL,NULL,NULL
Maria,Dubois,Sweden,NULL,NULL,NULL
Liam,Patel,"South Korea",NULL,NULL,NULL
Olivia,MYller,"South Korea",NULL,NULL,NULL
Ahmed,Garcia,Russia,NULL,NULL,NULL
Carlos,Silva,Sweden,NULL,NULL,NULL
Ahmed,Kim,Vietnam,NULL,NULL,NULL
Liam,Khan,Italy,NULL,NULL,NULL
Liam,Rossi,Canada,NULL,NULL,NULL
